ITMS_CD_NBR,STCK_KOR_NM,DMD_FRCS_START_DT,DMD_FRCS_END_DT,SBSC_START_DT,SBSC_CLSG_DT,PYM_DT,DRBC_DT,STCK_LSTN_DT,LWEN_SCDL_PBOF_AMT,TPPO_SCDL_PBOF_AMT,CNFM_PBOF_AMT,PBOF_STCK_CNT,SBSC_RVLR_RT,RPRS_SPIC_COM_NM,JOINT_SPIC_COM_NM,RBPE_COM_NM,FSS_RCIP_NBR,STCK_FACE_AMT,AISS_GNRL_STCK_CNT,AISS_PRTY_STCK_CNT,NMN_RRT_PROXY_INST_NM,DMD_FRCS_RVLR_RT,OBLG_DFPN_APLCT_RATE
122350,현대PwC드림투게더기업인수목적(주),,,20100310,20100311,20100315,20100315,20100319,"6,000",0,"6,000","3,334,000",0,KB증권,,,,100,"525,000",0,,0,0
115450,디지탈아리아,,,20100317,20100318,20100322,20100322,20100326,"8,000",0,"11,000","1,046,445",0,교보,,,,500,"3,135,555","143,565",,0,0
900120,차이나킹하이웨이,,,20100322,20100323,20100325,20100325,20100331,"3,000",0,"3,700","24,000,000",0,NH투자,,,,58,"56,000,000",0,,0,0
115500,케이씨에스,,,20100405,20100406,20100408,20100408,20100414,"1,200",0,"1,600","3,600,000",0,삼성,,,,500,"9,600,000",0,,0,0
032830,삼성생명보험,,,20100503,20100504,20100507,20100507,20100512,"90,000",0,"110,000","44,437,420",0,"한국투자,골드만삭스",,,,500,"200,000,000",0,,0,0
900110,동아체육용품유한공사,,,20100414,20100415,20100419,20100419,20100423,"4,600",0,"5,000","599,000",0,교보,,,,150,"17,001,000",0,,0,0
122690,신한제1호기업인수목,,,20100510,20100511,20100514,20100514,20100525,"4,000",0,"5,000","7,500,000",0,신한,,,,100,"750,000",0,,0,0
900100,뉴프라이드코퍼레이션,,,20100412,20100413,20100415,20100415,20100421,"6,000",0,"7,500","1,850,000",0,상상인,,,,3,"5,150,000",0,,0,0
122750,우리기업인수목적1호,,,20100429,20100430,20100504,20100504,20100511,"10,000",0,"10,000","3,500,000",0,NH투자,,,,"5,000","480,000",0,,0,0
082920,비츠로셀,,,20091019,20091020,20091022,20091022,20091028,"6,700",0,"5,500","3,200,000",0,KB증권,,,,500,"9,476,375",0,,0,0
109820,진매트릭스,,,20091028,20091029,20091102,20091102,20091106,"11,000",0,"8,000","1,000,000",0,삼성,,,,500,"2,961,000",0,,0,0
109860,동일금속,,,20090716,20090717,20090721,20090721,20090728,"7,000",0,"8,000","2,100,000",0,유안타,,,,500,"4,900,000",0,,0,0
103230,에스앤더블류,,,20090727,20090728,20090730,20090730,20090805,"5,600",0,"6,700","800,000",0,대신,,,,500,"6,400,000",0,,0,0
100130,동국S&C,,,20090820,20090821,20090825,20090825,20090831,"9,000",0,"11,000","22,857,300",0,삼성,,,,500,"40,000,000",0,,0,0
